TransactionAmount,TransactionType,CustomerAge,AccountBalance,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Target
0.01538405920026252,1,1.430601645511289,0.33683185966818,True,False,False,True,False,False,False,2
0.4182283859808172,1,1.317850609809509,0.9180546275595326,True,False,False,True,False,False,False,2
0.14019182798330335,1,-1.4445497648841028,0.06863734931174438,False,False,True,False,False,False,True,1
0.2049428103439166,1,-1.0499211399278725,0.569197956003802,False,False,True,False,False,False,True,1
0.01467214322859455,0,0.021213699239038146,0.4925911187531677,False,False,True,False,False,False,True,2
0.10221556036964013,1,-1.5009252827349928,0.045737843102722775,True,False,False,False,False,False,True,1
0.007586354573086796,0,-0.42979044356808216,0.8883303734554748,True,False,False,True,False,False,False,3
0.19039302767295244,0,1.261475091958619,0.18115460779713835,False,True,False,False,False,True,False,0
0.11787771174633545,0,0.3594668063443784,0.6045605421617909,False,True,False,False,True,False,False,3
0.9073591532649412,1,0.5849688777479385,0.06188385358620237,True,False,False,True,False,False,False,2
0.019488699724410655,0,0.4158423241952684,0.5040264197666963,False,False,True,False,True,False,False,3
0.21108308559955283,1,-1.3317987291823228,0.09595919536134934,False,False,True,False,False,False,True,1
0.5497993564947038,0,-1.1626721756296525,0.10209024288923516,False,True,False,False,False,False,True,1
0.8693161435289342,1,-1.0499211399278725,0.005944850820811549,True,False,False,False,False,False,True,1
0.18546523430656325,1,-1.5009252827349928,0.013355076448200345,False,False,True,False,False,False,True,1
0.5174627982190977,1,-0.48616596141897217,0.22614430312017286,True,False,False,False,True,False,False,3
0.6179653107819117,0,-1.4445497648841028,0.06923627084966197,False,True,False,False,False,False,True,1
0.5480306902525912,1,-0.3170394078663021,0.3366812890458528,False,False,True,False,True,False,False,3
0.020489831559568735,0,0.8104709491514986,0.5274757776233234,False,True,False,False,False,True,False,0
0.0792228992221762,0,-1.5009252827349928,0.4347283074114356,False,False,True,False,False,False,True,1
0.06569649576048478,1,1.486977163362179,0.3797633083592239,False,True,False,False,False,True,False,0
0.09511864802707505,1,-0.3734149257171921,0.607992073532239,False,True,False,True,False,False,False,3
0.05777643057567861,1,-0.3170394078663021,0.5964801428269905,False,False,True,False,True,False,False,3
0.3844123773265886,1,-1.2754232113314328,0.0874687599568185,False,False,True,False,False,False,True,1
0.16160492556862896,1,-1.3317987291823228,0.12299132740103008,False,False,True,False,False,False,True,1
0.008042425742436589,0,1.1487240562568388,0.23751305729615496,False,False,True,False,False,True,False,2
0.2743879886427155,1,-1.2190476934805428,0.03845600581847905,True,False,False,False,False,False,True,1
0.04456149035159194,1,-0.42979044356808216,0.1737793360642184,False,True,False,False,True,False,False,3
0.14148217568195154,1,-0.03516181861185189,0.11231022387969408,False,False,True,True,False,False,False,3
0.062192534337431486,1,-0.9935456220769825,0.08405336115304833,False,True,False,False,False,False,True,1
0.031201942195760207,0,0.8104709491514986,0.5534290442664186,False,False,True,True,False,False,False,2
0.06547402201933852,1,-0.8807945863752025,0.6535296039320443,True,False,False,True,False,False,False,3
0.44070935752364476,1,0.2467157706425983,0.6445565359077325,True,False,False,False,True,False,False,3
0.976159157714416,1,-1.2754232113314328,0.020014465534787865,False,False,True,False,False,False,True,1
0.2836540199614564,0,0.021213699239038146,0.9891024512090688,False,True,False,True,False,False,False,3
0.1384899038635346,1,0.2467157706425983,0.3806929475140387,False,True,False,False,True,False,False,3
0.08662015111528867,1,-1.0499211399278725,0.05373220208190774,False,True,False,False,False,False,True,1
0.7219495373936645,1,1.7124792347657394,0.3209446424418253,True,False,False,False,False,True,False,0
0.8843887394915918,1,1.2050995741077288,0.5252246123814761,True,False,False,True,False,False,False,2
0.3730550928410731,1,0.5849688777479385,0.061716478206919,False,False,True,False,False,True,False,2
0.3650905329080377,1,1.0359730205550588,0.28382629527705666,True,False,False,False,False,True,False,0
0.037553567505485365,1,-0.3734149257171921,0.9486776000656059,False,False,True,True,False,False,False,3
0.26825883707413656,0,0.6977199134497186,0.8910399724670863,False,False,True,True,False,False,False,2
0.06124702093755996,1,-1.4445497648841028,0.009446962170475522,True,False,False,False,False,False,True,1
0.33821570497757186,1,-0.9935456220769825,0.05158119319151912,False,True,False,False,False,False,True,1
0.48389151068013,1,1.6561037169148491,0.3073274117851088,False,True,False,False,False,True,False,0
0.18268431254223524,1,-1.0499211399278725,0.09464573555765579,False,True,False,False,False,False,True,1
0.5672857925487983,1,-1.4445497648841028,0.04573918748327928,False,False,True,False,False,False,True,1
0.6970547257594002,1,-1.0499211399278725,0.011041397510476086,False,False,True,False,False,False,True,1
0.024194019349653637,0,-0.204288372164522,0.08293752529115922,False,False,True,False,True,False,False,3
0.47284568943221916,0,1.374226127660399,0.2558551134186656,False,False,True,False,False,True,False,2
0.47197804184174885,1,0.3594668063443784,0.34164743082153753,False,False,True,False,True,False,False,3
0.09474044266712646,1,1.261475091958619,0.9950869612562968,False,True,False,True,False,False,False,0
0.18825727975794856,1,-0.9371701042260925,0.05496029372026398,False,True,False,False,False,False,True,1
0.11609792181716551,1,0.9795975027041688,0.29418609184539085,True,False,False,False,False,True,False,0
0.3522760454180142,1,-1.1062966577787625,0.08219408284341866,False,True,False,False,False,False,True,1
0.06705358558147684,0,0.6977199134497186,0.23080863146092492,False,True,False,False,False,True,False,0
0.32514537268523025,0,1.317850609809509,0.3049807955237505,False,True,False,False,False,True,False,0
0.4296635362757339,1,0.19034025279170827,0.3716782036924756,False,True,False,False,True,False,False,3
0.12437394498780566,1,-1.2190476934805428,0.055727935018021424,False,True,False,False,False,False,True,1
0.6321146407188126,1,0.07758921708992818,0.3628926767557946,True,False,False,False,True,False,False,3
0.2933649987624898,1,1.9379813061692994,0.2738348589812016,False,True,False,False,False,True,False,0
